SkyId,numberHalos,x_ref,y_ref,halo_x1,halo_y1,halo_x2,halo_y2,halo_x3,halo_y3
Sky52,1,1253.48,2143.11,1253.48,2143.11,0.00,0.00,0.00,0.00
Sky53,1,2202.15,1456.83,2202.15,1456.83,0.00,0.00,0.00,0.00
Sky54,1,1141.01,361.90,1141.01,361.90,0.00,0.00,0.00,0.00
Sky55,1,2483.21,2926.96,2483.21,2926.96,0.00,0.00,0.00,0.00
Sky56,1,77.60,4136.84,77.60,4136.84,0.00,0.00,0.00,0.00
Sky57,1,126.29,1106.39,126.29,1106.39,0.00,0.00,0.00,0.00
Sky58,1,2391.73,3569.88,2391.73,3569.88,0.00,0.00,0.00,0.00
Sky59,1,739.60,3803.98,739.60,3803.98,0.00,0.00,0.00,0.00
Sky60,1,2886.80,4170.15,2886.80,4170.15,0.00,0.00,0.00,0.00
Sky61,1,3399.88,792.21,3399.88,792.21,0.00,0.00,0.00,0.00
Sky62,1,1125.91,3082.58,1125.91,3082.58,0.00,0.00,0.00,0.00
Sky63,1,472.99,2221.15,472.99,2221.15,0.00,0.00,0.00,0.00
Sky64,1,3296.92,783.17,3296.92,783.17,0.00,0.00,0.00,0.00
Sky65,1,2679.16,1743.54,2679.16,1743.54,0.00,0.00,0.00,0.00
Sky66,1,4156.44,1563.79,4156.44,1563.79,0.00,0.00,0.00,0.00
Sky67,1,1898.73,3827.57,1898.73,3827.57,0.00,0.00,0.00,0.00
Sky68,1,3220.35,1084.54,3220.35,1084.54,0.00,0.00,0.00,0.00
Sky69,1,2903.91,1720.97,2903.91,1720.97,0.00,0.00,0.00,0.00
Sky70,1,2649.29,1443.47,2649.29,1443.47,0.00,0.00,0.00,0.00
Sky71,1,3289.63,322.14,3289.63,322.14,0.00,0.00,0.00,0.00
Sky72,1,3622.75,3445.56,3622.75,3445.56,0.00,0.00,0.00,0.00
Sky73,1,1618.52,1332.46,1618.52,1332.46,0.00,0.00,0.00,0.00
Sky74,1,2302.13,3181.16,2302.13,3181.16,0.00,0.00,0.00,0.00
Sky75,1,304.10,621.62,304.10,621.62,0.00,0.00,0.00,0.00
Sky76,1,1017.36,3671.04,1017.36,3671.04,0.00,0.00,0.00,0.00
Sky77,1,1989.58,2110.15,1989.58,2110.15,0.00,0.00,0.00,0.00
Sky78,1,557.80,1667.74,557.80,1667.74,0.00,0.00,0.00,0.00
Sky79,1,3102.74,622.90,3102.74,622.90,0.00,0.00,0.00,0.00
Sky80,1,2766.53,56.79,2766.53,56.79,0.00,0.00,0.00,0.00
Sky81,1,570.98,1308.07,570.98,1308.07,0.00,0.00,0.00,0.00
Sky82,1,3125.19,2592.45,3125.19,2592.45,0.00,0.00,0.00,0.00
Sky83,1,2480.87,2357.96,2480.87,2357.96,0.00,0.00,0.00,0.00
Sky84,1,3100.76,3962.21,3100.76,3962.21,0.00,0.00,0.00,0.00
Sky85,1,1821.55,2503.15,1821.55,2503.15,0.00,0.00,0.00,0.00
Sky86,1,240.33,3327.76,240.33,3327.76,0.00,0.00,0.00,0.00
Sky87,1,3367.49,3146.58,3367.49,3146.58,0.00,0.00,0.00,0.00
Sky88,1,1644.00,371.71,1644.00,371.71,0.00,0.00,0.00,0.00
Sky89,1,3487.03,2272.38,3487.03,2272.38,0.00,0.00,0.00,0.00
Sky90,1,552.31,1898.67,552.31,1898.67,0.00,0.00,0.00,0.00
Sky91,1,782.08,2979.85,782.08,2979.85,0.00,0.00,0.00,0.00
Sky92,1,2714.03,3423.92,2714.03,3423.92,0.00,0.00,0.00,0.00
Sky93,1,1962.14,2337.37,1962.14,2337.37,0.00,0.00,0.00,0.00
Sky94,1,4106.42,3601.96,4106.42,3601.96,0.00,0.00,0.00,0.00
Sky95,1,3537.15,3426.49,3537.15,3426.49,0.00,0.00,0.00,0.00
Sky96,1,3418.39,3075.62,3418.39,3075.62,0.00,0.00,0.00,0.00
Sky97,1,569.53,66.86,569.53,66.86,0.00,0.00,0.00,0.00
Sky98,1,2882.48,3847.19,2882.48,3847.19,0.00,0.00,0.00,0.00
Sky99,1,3294.22,2646.39,3294.22,2646.39,0.00,0.00,0.00,0.00
Sky100,1,3868.67,978.09,3868.67,978.09,0.00,0.00,0.00,0.00
Sky101,2,3136.47,932.52,4093.96,345.65,1604.48,1871.51,0.00,0.00
Sky102,2,266.16,721.01,19.77,790.82,2591.24,62.25,0.00,0.00
Sky103,2,1797.30,2446.26,1775.04,2459.69,3644.59,1331.22,0.00,0.00
Sky104,2,506.86,2603.82,527.74,2497.54,332.85,3489.45,0.00,0.00
Sky105,2,1627.06,2360.39,1084.54,2839.79,3245.09,930.61,0.00,0.00
Sky106,2,568.22,2776.89,432.88,3242.41,1372.96,8.92,0.00,0.00
Sky107,2,3615.38,3140.73,3807.44,3159.73,1249.43,2906.70,0.00,0.00
Sky108,2,1772.22,1110.77,1845.74,1104.40,97.65,1255.97,0.00,0.00
Sky109,2,638.04,1439.74,416.27,1191.24,2957.72,4039.04,0.00,0.00
Sky110,2,703.69,1692.32,540.85,1839.21,2532.82,42.36,0.00,0.00
Sky111,2,4078.80,2509.88,4169.14,2423.06,3265.72,3291.30,0.00,0.00
Sky112,2,694.03,755.78,736.14,660.02,96.87,2113.87,0.00,0.00
Sky113,2,1213.36,705.78,1446.47,575.95,34.70,1362.23,0.00,0.00
Sky114,2,1667.52,2000.22,1708.87,2108.82,1387.62,1265.10,0.00,0.00
Sky115,2,3249.64,2587.52,3309.86,2319.44,2897.31,4156.06,0.00,0.00
Sky116,2,3255.77,3508.18,3333.78,3487.48,1327.28,4020.02,0.00,0.00
Sky117,2,2875.26,1251.41,2899.04,1274.66,2332.99,721.28,0.00,0.00
Sky118,2,538.42,2366.11,10.24,2110.45,4016.69,4049.75,0.00,0.00
Sky119,2,1876.66,1243.96,1909.03,1243.69,73.02,1258.72,0.00,0.00
Sky120,2,696.50,1951.06,809.50,1628.21,274.63,3156.37,0.00,0.00
Sky121,2,2664.78,3333.94,2773.89,3466.15,591.75,821.93,0.00,0.00
Sky122,2,2306.45,1789.98,1660.05,2182.77,4102.01,698.89,0.00,0.00
Sky123,2,3303.82,847.93,3427.54,611.64,2495.85,2391.03,0.00,0.00
Sky124,2,2308.41,3639.78,2289.97,3673.73,3722.29,1036.86,0.00,0.00
Sky125,2,1850.47,2038.79,2106.88,1933.46,1117.86,2339.75,0.00,0.00
Sky126,2,328.15,2720.55,318.61,3071.32,374.54,1015.41,0.00,0.00
Sky127,2,2522.29,3652.33,2500.67,3645.88,3711.19,4007.22,0.00,0.00
Sky128,2,2694.58,1346.67,3127.35,1448.40,359.00,797.67,0.00,0.00
Sky129,2,3519.06,1693.89,3600.12,1732.84,1467.27,707.98,0.00,0.00
Sky130,2,1350.32,3256.02,1253.07,3233.34,3122.40,3669.26,0.00,0.00
Sky131,2,2192.34,3819.21,2299.36,3828.22,1569.89,3766.82,0.00,0.00
Sky132,2,4111.53,2083.12,4113.81,2086.62,4011.03,1928.51,0.00,0.00
Sky133,2,2378.04,2505.98,2301.69,2380.04,3345.10,4101.27,0.00,0.00
Sky134,2,2065.89,2681.17,2007.76,2865.47,2543.41,1167.29,0.00,0.00
Sky135,2,865.45,3848.74,712.12,4109.68,2927.49,339.60,0.00,0.00
Sky136,2,3060.85,3901.79,3085.09,3990.58,2812.11,2990.52,0.00,0.00
Sky137,2,2741.31,1894.10,3298.15,1505.55,501.14,3457.23,0.00,0.00
Sky138,2,2331.21,1774.16,2162.30,1978.52,3623.92,210.19,0.00,0.00
Sky139,2,2290.21,2120.26,2263.88,2034.11,2897.32,4106.59,0.00,0.00
Sky140,2,1953.44,3942.67,1922.59,4039.31,2438.88,2421.73,0.00,0.00
Sky141,2,799.42,2439.84,831.69,2542.44,250.76,695.66,0.00,0.00
Sky142,2,3405.75,2455.36,3373.83,2814.78,3584.81,439.11,0.00,0.00
Sky143,2,1071.39,2575.42,773.65,2660.44,3728.13,1816.82,0.00,0.00
Sky144,2,2391.80,767.03,2137.22,810.15,3426.04,591.87,0.00,0.00
Sky145,2,3232.65,2410.52,3253.79,2392.59,2752.78,2817.57,0.00,0.00
Sky146,2,2866.30,423.49,2983.76,231.55,1356.07,2891.23,0.00,0.00
Sky147,2,1475.99,2794.07,1435.58,3045.90,1715.00,1304.74,0.00,0.00
Sky148,2,3019.09,1753.90,3102.97,1447.23,2442.38,3862.22,0.00,0.00
Sky149,2,1577.41,951.62,1371.82,725.77,2936.41,2444.52,0.00,0.00
Sky150,2,2555.48,2403.51,2739.69,2800.20,1878.80,946.26,0.00,0.00
Sky151,2,1025.61,3462.25,1134.57,3516.28,13.85,2960.50,0.00,0.00
Sky152,2,271.53,3384.67,74.15,3601.08,2307.02,1152.97,0.00,0.00
Sky153,2,1796.85,523.89,1762.36,420.43,2641.86,3058.57,0.00,0.00
Sky154,2,1537.02,3081.44,1532.41,3148.23,1663.22,1251.99,0.00,0.00
Sky155,2,2631.82,1145.57,3334.39,906.16,188.10,1978.29,0.00,0.00
Sky156,2,2648.36,3362.35,2497.61,3456.41,4106.11,2452.74,0.00,0.00
Sky157,2,1522.76,2587.25,1601.39,2508.90,239.02,3866.43,0.00,0.00
Sky158,2,1617.56,3641.04,1527.24,4078.87,2356.51,58.82,0.00,0.00
Sky159,2,602.20,2205.28,621.14,2258.12,166.06,988.37,0.00,0.00
Sky160,2,859.49,1777.16,885.20,1822.08,154.26,544.93,0.00,0.00
Sky161,2,4100.65,2995.62,4131.75,3074.73,3426.83,1281.56,0.00,0.00
Sky162,2,1778.32,2277.03,1583.61,2233.90,3725.47,2708.36,0.00,0.00
Sky163,2,995.29,518.69,861.82,400.68,2600.51,1938.00,0.00,0.00
Sky164,2,3348.72,2547.97,3246.20,2432.66,4102.86,3396.24,0.00,0.00
Sky165,2,1602.85,2532.20,1660.34,2472.21,1166.76,2987.29,0.00,0.00
Sky166,2,702.65,1999.33,716.94,1880.37,493.76,3737.98,0.00,0.00
Sky167,2,2891.56,2796.98,3068.67,2623.71,2175.94,3497.05,0.00,0.00
Sky168,2,2800.58,3600.01,2887.28,3665.25,1897.12,2920.11,0.00,0.00
Sky169,2,3987.96,2267.52,3998.59,2270.62,3754.11,2199.24,0.00,0.00
Sky170,2,1959.04,2420.02,2098.37,1523.98,1705.71,4049.18,0.00,0.00
Sky171,2,1529.52,686.73,1554.11,647.21,570.45,2227.86,0.00,0.00
Sky172,2,2497.37,1398.54,2781.16,1104.35,1093.70,2853.68,0.00,0.00
Sky173,2,1038.72,2729.00,1026.74,2803.80,1427.92,297.94,0.00,0.00
Sky174,2,2441.57,3446.77,2430.75,3441.11,3334.35,3914.00,0.00,0.00
Sky175,2,1813.59,1786.57,1973.76,1921.49,231.66,454.00,0.00,0.00
Sky176,2,3871.43,1444.79,4049.66,1488.88,1079.18,754.02,0.00,0.00
Sky177,2,298.14,1318.70,93.18,1418.32,2433.14,280.94,0.00,0.00
Sky178,2,123.87,3173.01,25.74,3133.87,1759.31,3825.37,0.00,0.00
Sky179,2,865.94,3501.25,895.69,3484.42,377.56,3777.54,0.00,0.00
Sky180,2,3342.06,3432.70,3581.96,3358.56,1946.73,3863.91,0.00,0.00
Sky181,2,4169.90,1006.65,4188.56,834.21,4023.28,2361.51,0.00,0.00
Sky182,2,2272.38,512.01,2628.75,290.83,724.52,1472.70,0.00,0.00
Sky183,2,3595.32,2472.02,3591.63,2648.08,3621.55,1221.96,0.00,0.00
Sky184,2,3331.48,241.21,3425.90,106.52,1906.67,2273.73,0.00,0.00
Sky185,2,1052.56,2258.01,1019.42,2111.08,1401.93,3806.72,0.00,0.00
Sky186,2,1636.02,2250.35,1666.67,2262.26,620.82,1855.85,0.00,0.00
Sky187,2,1005.63,208.14,920.57,82.35,2269.31,2077.01,0.00,0.00
Sky188,2,993.81,685.69,867.19,576.26,2105.56,1646.55,0.00,0.00
Sky189,2,1943.71,3857.36,1933.83,3919.99,2203.59,2209.08,0.00,0.00
Sky190,2,3855.74,1518.13,3869.40,1499.19,2956.63,2764.75,0.00,0.00
Sky191,2,2463.17,529.23,2472.32,333.59,2376.51,2382.71,0.00,0.00
Sky192,2,2133.24,2828.05,2172.71,2820.97,970.99,3036.62,0.00,0.00
Sky193,2,201.29,1927.96,84.75,1685.21,937.31,3461.13,0.00,0.00
Sky194,2,417.83,2871.57,57.44,3288.10,1709.79,1378.36,0.00,0.00
Sky195,2,3752.92,3236.34,3723.17,3478.99,4012.41,1119.60,0.00,0.00
Sky196,2,799.29,2093.14,672.81,2037.90,3126.55,3109.57,0.00,0.00
Sky197,2,3656.73,3807.61,3989.82,3985.06,668.69,2215.81,0.00,0.00
Sky198,2,2519.37,3642.15,2532.74,3687.22,1774.23,1130.99,0.00,0.00
Sky199,2,2378.25,288.65,1796.25,20.02,3850.77,968.33,0.00,0.00
Sky200,2,3340.82,2960.45,3392.37,2947.62,2787.65,3098.15,0.00,0.00
Sky201,3,2205.33,369.15,2057.53,330.05,675.17,2489.33,3922.40,120.22
Sky202,3,509.47,3400.71,204.40,3462.73,3598.54,528.71,3549.75,3389.05
Sky203,3,3375.15,3502.10,3495.27,3937.81,3753.33,2746.04,1922.41,687.67
Sky204,3,2516.10,2678.30,3075.12,2406.25,424.60,3515.55,1749.07,3427.87
Sky205,3,2907.39,866.19,2899.00,856.10,3959.39,760.17,1201.49,1694.31
Sky206,3,2201.68,1207.80,2254.48,1247.18,1603.35,268.96,1608.42,2450.35
Sky207,3,1841.75,2673.97,1886.79,2630.57,1551.97,3671.22,1221.13,2904.19
Sky208,3,3897.41,938.21,3960.78,866.90,3092.99,2189.07,2907.05,209.16
Sky209,3,246.03,3368.57,29.81,3549.48,2922.98,818.81,2.23,4062.04
Sky210,3,2626.55,441.52,2602.90,557.23,2848.14,214.90,2469.52,37.72
Sky211,3,3608.39,3077.14,3956.97,3343.28,3622.11,3866.86,1673.54,1226.84
Sky212,3,3094.08,2788.71,3031.09,2878.34,1345.53,3885.89,4134.17,1681.52
Sky213,3,1686.16,711.22,1452.58,411.37,1272.62,2751.19,4033.87,616.90
Sky214,3,1974.54,3333.10,2234.09,3373.50,2859.80,2495.15,40.31,3492.47
Sky215,3,2879.71,2831.19,3696.44,3942.03,966.16,273.96,2079.62,1568.09
Sky216,3,2781.45,1406.91,3081.63,1156.11,2284.74,3195.97,1809.16,845.18
Sky217,3,3360.47,2177.00,3710.55,2147.43,1986.22,3010.75,3908.37,1465.57
Sky218,3,3855.80,2673.03,3936.30,2622.75,3818.66,1403.06,3132.43,4169.29
Sky219,3,2437.91,2310.22,2535.82,2354.39,2573.69,2880.33,1679.20,1864.89
Sky220,3,2316.33,3172.24,2040.76,3389.65,3392.24,3837.62,2454.85,1583.19
Sky221,3,2323.94,1766.54,2532.38,1936.65,1290.08,275.54,192.89,1629.22
Sky222,3,1648.72,4048.62,1179.28,4170.78,3018.36,4126.01,1440.09,2054.29
Sky223,3,2791.45,4004.67,2811.93,4150.65,3147.52,2424.82,701.72,1670.33
Sky224,3,3293.02,3886.02,3467.51,3771.44,3126.13,3926.15,3071.04,4141.14
Sky225,3,1306.07,1261.72,1272.91,1316.56,1402.10,602.56,2467.34,634.01
Sky226,3,3215.79,3681.99,3388.90,3686.65,1900.28,1355.16,1431.59,4050.64
Sky227,3,2035.71,974.53,2003.35,265.87,3164.94,2623.49,1094.35,3440.36
Sky228,3,2939.90,819.72,3023.27,809.24,94.54,85.64,3686.89,1402.72
Sky229,3,3557.57,3091.25,4043.02,3177.38,429.28,3538.14,1321.19,2234.12
Sky230,3,570.89,1168.01,260.98,1307.91,966.30,592.13,2203.63,1904.54
Sky231,3,2820.31,3545.42,2957.42,3881.12,3377.06,526.34,193.20,3530.12
Sky232,3,3344.40,3730.98,3579.72,3974.47,1416.24,1885.05,325.48,416.13
Sky233,3,517.86,1094.84,318.53,1163.54,1493.10,527.88,2807.42,570.10
Sky234,3,3000.92,1630.39,3012.38,1580.96,1880.31,1619.67,3370.91,2456.27
Sky235,3,1678.81,946.81,1394.07,354.48,3882.10,2348.71,1548.95,2552.11
Sky236,3,525.98,2056.47,248.81,1996.49,451.09,2774.33,1743.04,1681.09
Sky237,3,2218.84,3138.73,1862.02,3012.53,2756.53,2852.07,3402.33,4185.87
Sky238,3,868.00,1091.83,665.32,988.51,3817.93,2700.93,221.00,334.68
Sky239,3,1250.32,750.68,1152.58,463.97,2373.68,2679.56,1304.82,2732.45
Sky240,3,1115.66,3354.19,726.98,2966.34,2341.23,4162.19,1404.96,4077.59
Sky241,3,1792.89,3212.50,1628.40,3201.67,2986.86,1524.29,3163.80,3971.25
Sky242,3,1662.42,540.75,1799.43,264.16,1255.78,1316.84,449.33,3113.38
Sky243,3,1821.45,1306.85,1304.94,814.07,4040.92,979.58,1330.51,2692.19
Sky244,3,1978.67,635.97,1803.98,249.49,2951.97,2627.26,2644.98,2335.49
Sky245,3,1363.25,2597.51,128.08,3922.01,3025.13,371.87,4069.88,119.44
Sky246,3,2103.48,2064.30,2213.74,2139.02,1643.43,355.54,1039.22,2606.05
Sky247,3,3167.95,2928.74,3834.21,3092.54,1279.03,3087.75,1877.86,1718.03
Sky248,3,2054.76,1617.29,2101.71,1941.72,2588.34,1337.30,1338.99,121.04
Sky249,3,3794.13,3733.66,4049.19,3794.15,2753.78,3277.51,825.16,3605.45
Sky250,3,2932.71,1774.24,3052.28,1756.55,2876.24,2823.17,1292.69,35.72
Sky251,3,973.02,1292.42,611.62,1150.82,817.26,2062.28,3329.12,1696.25
Sky252,3,496.18,721.89,45.68,311.72,3043.23,1770.45,1012.94,4106.97
Sky253,3,1915.61,1774.45,1830.29,1893.73,2161.68,899.71,3665.93,2299.36
Sky254,3,3195.05,3964.09,3303.33,4124.93,3564.68,1758.51,1738.14,2540.12
Sky255,3,942.23,270.36,479.47,86.23,2436.14,590.59,3307.73,1385.78
Sky256,3,1710.07,1783.41,1828.97,1750.85,348.85,2296.20,4111.01,368.22
Sky257,3,1963.01,1919.21,1292.07,1699.81,3334.62,4089.65,4162.01,761.60
Sky258,3,3852.26,822.46,4077.04,617.65,2872.24,2592.98,2283.42,1579.84
Sky259,3,3723.42,3260.10,4085.17,3195.39,1839.85,2690.16,2743.33,4049.79
Sky260,3,2371.04,3565.05,2593.76,3675.12,200.26,1972.53,1463.95,3779.40
Sky261,3,275.39,3539.98,248.52,3776.04,121.48,1285.98,1063.35,2067.46
Sky262,3,1398.03,1250.18,1472.94,1254.99,1396.21,3833.06,564.15,52.70
Sky263,3,732.15,1399.46,726.95,984.57,452.60,3789.53,847.36,3859.26
Sky264,3,1348.10,3914.27,865.13,4151.73,3667.34,1879.58,4011.12,3532.51
Sky265,3,3776.59,2786.45,3954.84,3010.83,3998.55,1802.02,133.05,468.61
Sky266,3,1017.16,571.96,957.88,205.84,2007.32,2035.14,77.78,144.22
Sky267,3,762.00,613.88,732.57,613.16,1856.14,1577.26,709.20,155.72
Sky268,3,906.44,1583.52,894.29,1518.42,2144.09,3043.66,137.31,2868.24
Sky269,3,3482.99,1194.80,3844.57,893.77,1991.85,3548.22,412.17,2491.09
Sky270,3,406.45,1182.58,354.38,762.40,839.32,3180.01,37.52,3395.36
Sky271,3,1635.70,3041.43,830.41,3818.68,2839.26,1737.60,3764.55,1025.63
Sky272,3,2420.24,2822.26,2250.22,2916.08,1798.08,1322.91,3920.59,3609.80
Sky273,3,1898.19,3393.41,836.04,3833.06,3753.04,1524.08,2948.87,3876.49
Sky274,3,3131.34,171.68,3194.53,23.81,1796.82,1742.00,3352.35,2116.77
Sky275,3,2020.67,2075.06,2534.45,3737.30,2359.21,835.13,600.40,188.88
Sky276,3,3514.25,2927.14,3835.13,3255.38,1221.59,169.86,2856.54,2626.89
Sky277,3,2647.02,1618.56,3230.97,1262.04,1075.53,3790.49,1087.85,675.96
Sky278,3,3208.42,3355.59,3788.40,4038.13,2043.38,2906.27,1080.24,617.18
Sky279,3,2107.06,2773.00,2498.79,2529.72,719.30,2512.50,1719.51,4108.30
Sky280,3,3370.95,968.23,3689.61,523.55,3851.27,2361.84,1184.47,785.97
Sky281,3,1843.48,2901.48,2364.15,2605.85,903.29,3632.89,622.57,3283.09
Sky282,3,1822.83,2620.73,1734.40,2798.95,3649.29,3008.92,2310.08,1210.36
Sky283,3,2619.73,2635.95,3298.55,4063.52,2317.54,19.73,733.58,544.44
Sky284,3,2368.79,2756.79,1862.10,3547.35,2177.28,1234.64,4013.55,1213.60
Sky285,3,1578.98,1423.74,1525.54,1186.82,1426.48,4031.40,2079.97,2527.17
Sky286,3,1251.43,3152.44,1220.55,3329.61,1239.06,1989.02,2051.79,206.15
Sky287,3,2306.19,3758.59,2095.47,4031.69,2510.58,2387.52,3622.56,2837.56
Sky288,3,2944.77,3090.55,3121.32,3815.55,3364.82,1578.46,1853.92,136.49
Sky289,3,2267.40,1988.52,2413.92,1998.71,2074.59,875.35,1010.40,2832.58
Sky290,3,2443.18,2731.17,1935.12,2780.24,2567.94,4100.66,4066.38,1301.92
Sky291,3,2519.57,2835.79,2666.85,2986.67,222.61,2801.96,3047.31,807.37
Sky292,3,3944.31,2326.78,4001.10,2376.29,2688.95,551.55,4060.90,2768.75
Sky293,3,3270.97,1360.33,3546.76,602.60,3081.57,4146.19,1814.90,1942.80
Sky294,3,3014.92,514.19,3010.59,558.16,1551.87,33.03,4178.54,201.70
Sky295,3,2020.60,3425.04,1981.67,3620.75,952.17,237.92,4019.44,1683.22
Sky296,3,832.11,1287.86,760.42,1270.57,2493.50,1915.87,1700.29,1303.56
Sky297,3,2790.06,340.14,2712.63,345.29,3910.23,472.60,3438.33,152.13
Sky298,3,3555.68,3729.10,3837.68,4173.71,4166.00,3076.44,1773.77,1157.65
Sky299,3,2413.48,2036.56,2906.06,1988.74,1708.82,1413.22,561.41,2569.31
Sky300,3,2438.08,1146.55,2502.95,590.70,3341.28,3204.82,773.75,1877.49
